0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:02 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/index.jsp?main=myPage/mypage.jsp HTTP/1.1" 200 27194
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/jeju/jongdal.gif HTTP/1.1" 200 8664562
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/jeju/momo.gif HTTP/1.1" 200 12263995
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/jeju/onpyeong.gif HTTP/1.1" 200 12518677
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/jeju/osung.gif HTTP/1.1" 200 12896255
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/save/%EC%9C%84%EC%8B%9C%EC%98%A8.PNG HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:03 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/index.jsp?main=myList/myCourse.jsp?id=wish HTTP/1.1" 200 15281
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/jeju/mokjang.jpg HTTP/1.1" 200 335798
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/jeju/doldam.jpg HTTP/1.1" 200 201907
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/jeju/parnas.jpg HTTP/1.1" 200 328453
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/jeju/%EC%82%B0%ED%98%B8%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/jeju/%EA%B9%80%EB%85%95%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:06 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/index.jsp?main=recomCourse/recomCourseList.jsp HTTP/1.1" 200 11065
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/jeju/map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/jeju/tour.jpeg HTTP/1.1" 200 129891
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/jeju/couple.jpeg HTTP/1.1" 200 14076
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/jeju/healing.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:13 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:30 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 55541529
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 20023
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/jeju/%EC%87%A0%EC%86%8C%EA%B9%8D.jpeg HTTP/1.1" 200 435695
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/jeju/%EC%A0%95%EB%B0%A9%ED%8F%AD%ED%8F%AC.jpeg HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/jeju/osulloc.png HTTP/1.1" 200 2630312
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/jeju/dongmun.jpg HTTP/1.1" 200 118833
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/jeju/left.svg HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 3211264
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:45:58 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:12 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:12 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:12 +0900] "GET /assets/css/star.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:13 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:13 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:13 +0900] "GET /image/%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:13 +0900] "GET /sistSemiProject0921final/index.jsp?main=tourReview/tourSpotReviewList.jsp HTTP/1.1" 200 36891
